src_ip,dst_ip,protocol_type,src_bytes,dst_bytes,duration,packet_count,byte_count,avg_packet_size,payload_entropy
10.153.0.36,45.112.149.2,17,0,0,41.424495,4,333,83.25,0.0
45.112.149.2,10.153.0.36,17,0,0,41.452548,4,1823,455.75,0.0
10.153.0.36,157.240.242.60,6,0,528,20.295133,4,744,186.0,6.752973128507897
157.240.242.60,10.153.0.36,6,160,0,20.221746,4,392,98.0,5.912492001110319
104.18.39.21,10.153.0.36,6,64,0,20.035425,4,280,70.0,4.9375
10.153.0.36,104.18.39.21,6,0,64,20.003331,2,172,86.0,5.0
0.0.0.0,224.0.0.1,2,0,16,0.000000,1,54,54.0,4.0
10.153.0.36,224.0.0.252,2,0,16,0.000000,1,54,54.0,3.875
10.153.0.36,224.0.0.251,2,0,16,0.000000,1,54,54.0,4.0
10.153.0.36,142.250.70.42,6,0,16,0.000000,1,70,70.0,4.0
142.250.70.42,10.153.0.36,6,0,0,0.000000,1,70,70.0,0.0
10.153.0.36,239.255.255.250,2,0,16,0.000000,1,54,54.0,3.875
10.153.0.36,20.189.173.8,6,0,2880,1.474363,14,3660,261.42857142857144,6.867783251297205
10.153.0.36,224.0.0.251,17,0,0,0.812305,6,1047,174.5,0.0
20.189.173.8,10.153.0.36,6,4752,0,1.244622,13,5530,425.38461538461536,6.870001299149153
10.153.0.2,255.255.255.255,17,0,161,0.000000,1,218,218.0,6.802845138930429
10.153.0.36,142.251.12.188,6,0,16,0.000000,1,70,70.0,4.0
142.251.12.188,10.153.0.36,6,0,0,0.000000,1,70,70.0,0.0
10.153.0.36,20.190.146.34,6,0,4528,0.363112,15,5374,358.26666666666665,6.48675142481397
20.190.146.34,10.153.0.36,6,6320,0,0.283377,12,7028,585.6666666666666,6.9963358202375066
10.153.0.36,45.112.149.3,17,0,0,0.000000,1,85,85.0,0.0
10.153.0.36,23.100.109.78,6,0,0,0.000000,1,66,66.0,0.0
45.112.149.3,10.153.0.36,17,0,0,0.000000,1,444,444.0,0.0
